case,optimizer,step,excess_risk,q_eff,alpha_orig,diag_condition,trial,a,b,dimension
flat,spectral_oracle,250,0.7431229967061144,0.5,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,spectral_oracle,500,0.4459239189789842,0.5,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,spectral_oracle,1000,0.25338318522878367,0.5,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,spectral_oracle,2000,0.12810998292732945,0.5,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,spectral_oracle,4000,0.05198473541658655,0.5,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,spectral_oracle,8000,0.01390528075901342,0.5,1.5000000000000064,1.0000000000000004,0,1.5,1.4,512
flat,spectral_oracle,250,0.7502991020932331,0.5,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,spectral_oracle,500,0.4495679989586302,0.5,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,spectral_oracle,1000,0.25880325822134187,0.5,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,spectral_oracle,2000,0.12878611366141718,0.5,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,spectral_oracle,4000,0.05242281328291715,0.5,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,spectral_oracle,8000,0.014013723711930137,0.5,1.5000000000000064,1.0000000000000004,1,1.5,1.4,512
flat,spectral_oracle,250,0.7791731776459911,0.5,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,spectral_oracle,500,0.4644415130739074,0.5,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,spectral_oracle,1000,0.2590064480559821,0.5,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,spectral_oracle,2000,0.1307825905501749,0.5,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,spectral_oracle,4000,0.05224788201738882,0.5,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,spectral_oracle,8000,0.013922903450177403,0.5,1.5000000000000064,1.0000000000000004,2,1.5,1.4,512
flat,spectral_oracle,250,0.7127322178413601,0.5,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,spectral_oracle,500,0.43780469454357734,0.5,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,spectral_oracle,1000,0.2554417005275774,0.5,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,spectral_oracle,2000,0.12955868150224167,0.5,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,spectral_oracle,4000,0.05199150007610333,0.5,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,spectral_oracle,8000,0.013965105803484843,0.5,1.5000000000000064,1.0000000000000004,3,1.5,1.4,512
flat,spectral_oracle,250,0.7409206700780845,0.5,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,spectral_oracle,500,0.4505468413245835,0.5,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,spectral_oracle,1000,0.2575615295657866,0.5,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,spectral_oracle,2000,0.12727872185052286,0.5,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,spectral_oracle,4000,0.05121176822798851,0.5,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
flat,spectral_oracle,8000,0.01381843785692587,0.5,1.5000000000000064,1.0000000000000004,4,1.5,1.4,512
